nome,idade,naturalidade,equipe,pais
Ayrton Senna,65,São Paulo,Toleman,Brasil
Emerson Fittipaldi,78,São Paulo,Lotus,Brasil
José Carlos Pace,80,São Paulo,Willys,Brasil
Lewis Hamilton,40,Stevenage,McLaren,Inglaterra
Max Verstappen,27,Hasselt,Toro Rosso,Bélgica
Michael Schumacher,56,Hürth,Jordan,Alemanha
Nelson Piquet,73,Rio de Janeiro,Ensign,Brasil
Rubens Barrichello,53,São Paulo,Jordan,Brasil
Jos Verstappen,53,Montfort,Bennetton,Holanda
Sebastian Vettel,37,Heppenhein,Sauber,Alemanha
Nigel Mansell,71,Upton-upon-Severn,Lotus,Inglaterra
Nico Rosberg,39,Wiesbaden,Williams,Alemanha
Jenson Button,45,Frome,Williams,Inglaterra
