NOME,IDADE,NATURALIDADE,EQUIPE_F1,PAIS,RANK
JOSE CARLOS PACE,80,SAO PAULO,WILLYS,BRASIL,13.0
EMERSON FITTIPALDI,78,SAO PAULO,LOTUS,BRASIL,12.0
NELSON PIQUET,73,RIO DE JANEIRO,ENSIGN,BRASIL,11.0
NIGEL MANSELL,71,UPTON-UPON-SEVERN,LOTUS,INGLATERRA,10.0
AYRTON SENNA,65,SAO PAULO,TOLEMAN,BRASIL,9.0
MICHAEL SCHUMACHER,56,HURTH,JORDAN,ALEMANHA,8.0
JOS VERSTAPPEN,53,MONTFORT,BENNETTON,HOLANDA,7.0
RUBENS BARRICHELLO,53,SAO PAULO,JORDAN,BRASIL,6.0
JENSON BUTTON,45,FROME,WILLIAMS,INGLATERRA,5.0
LEWIS HAMILTON,40,STEVENAGE,MCLAREN,INGLATERRA,4.0
NICO ROSBERG,39,WIESBADEN,WILLIAMS,ALEMANHA,3.0
SEBASTIAN VETTEL,37,HEPPENHEIN,SAUBER,ALEMANHA,2.0
MAX VERSTAPPEN,27,HASSELT,TORO ROSSO,BELGICA,1.0
