NOME,IDADE,NATURALIDADE,EQUIPE_F1,PAIS
AYRTON SENNA,65,SAO PAULO,TOLEMAN,BRASIL
EMERSON FITTIPALDI,78,SAO PAULO,LOTUS,BRASIL
JOSE CARLOS PACE,80,SAO PAULO,WILLYS,BRASIL
LEWIS HAMILTON,40,STEVENAGE,MCLAREN,INGLATERRA
MAX VERSTAPPEN,27,HASSELT,TORO ROSSO,BELGICA
MICHAEL SCHUMACHER,56,HURTH,JORDAN,ALEMANHA
NELSON PIQUET,73,RIO DE JANEIRO,ENSIGN,BRASIL
RUBENS BARRICHELLO,53,SAO PAULO,JORDAN,BRASIL
JOS VERSTAPPEN,53,MONTFORT,BENNETTON,HOLANDA
SEBASTIAN VETTEL,37,HEPPENHEIN,SAUBER,ALEMANHA
NIGEL MANSELL,71,UPTON-UPON-SEVERN,LOTUS,INGLATERRA
NICO ROSBERG,39,WIESBADEN,WILLIAMS,ALEMANHA
JENSON BUTTON,45,FROME,WILLIAMS,INGLATERRA
